Document_No,Dominant_Topic,Dominant_Percent,All_Percent,description
271,4.0,0.9527999758720398,"[(4, 0.9528158)]","4월 23일 금요일 오후 9시부터 시작하는 <b>아이폰 12</b> 퍼플 사전예약 주문 모델은 미니와 12 2종에 국한됩니다. 이것은 아이폰 11 판매 데이터를 분석했을 때, 고사양을 구매하는 유저들의 컬러 선택 성향을 분석한... "
381,4.0,0.9478999972343445,"[(0, 0.010418979), (1, 0.0104183685), (2, 0.010419843), (3, 0.010417288), (4, 0.94790715), (5, 0.010418349)]",안녕하세요 은디입니다 태원군이 <b>아이폰12</b>미니로 바꾸면서 정보보안 강화유리를 알아보다가 전에도 사용하고 만족스러웠던 힐링쉴드 <b>아이폰12</b>미니 필름으로 바꿨습니다 <b>아이폰12</b> 미니 3D 풀커버 9H 사생활... 
160,4.0,0.9478999972343445,"[(0, 0.010418819), (1, 0.0104195485), (2, 0.010418399), (3, 0.010418237), (4, 0.94790685), (5, 0.010418127)]",안녕하세요 은디입니다 얼마전 태원군의 <b>아이폰12</b>미니 사생활보호 필름을 구매한 후 너무 좋아보이길래 저도 하나 장만했습니다 <b>아이폰12</b>프로 사생활 정보보안 프라이버시 강화유리 액정보호필름 힐링쉴드... 
526,4.0,0.9417999982833862,"[(0, 0.011630462), (1, 0.011630821), (2, 0.011631862), (3, 0.011632854), (4, 0.9418432), (5, 0.0116307475)]",▶ 장착 후 전면 ▶ 장착 후 측면 끼움 슬림케이스 zero03 블루에디션을 <b>아이폰 12</b> 프로 맥스에 장착한 모습입니다. 아이폰에 거의 딱 맞게 설계되어 있어 기존 다른 케이스와 비교했을 때 더욱 일체감이... 
298,4.0,0.9417999982833862,"[(0, 0.01163113), (1, 0.011630996), (2, 0.011633728), (3, 0.011631773), (4, 0.9418404), (5, 0.011631955)]","<b>아이폰12</b>케이스 정품 케이스 가성비 케이스 추천! 그랩비에서 주문했어요~★ 그랩비 <b>아이폰12</b>용 정품 실리콘 범퍼 케이스 색감이 예쁜 실리콘케이스예요~ 색상이 바나나크림, 페르시안블루, 러시안레드... "
412,4.0,0.9417999982833862,"[(0, 0.011630239), (1, 0.0116312625), (2, 0.0116304485), (3, 0.011630885), (4, 0.94184613), (5, 0.011631004)]",#<b>아이폰12</b>PRO케이스 #아이폰케이스 #핸드폰케이스 #휴대폰케이스 #폰케이스 #아이폰케이스쇼핑몰 #<b>아이폰12</b>케이스 <b>아이폰12</b>케이스 안녕하세요 영리한토끼입니다^^ 주말 내내 날씨 비가 오는 흐린 날씨구 오늘은... 
184,4.0,0.9417999982833862,"[(0, 0.011629638), (1, 0.011631445), (2, 0.011630704), (3, 0.011632242), (4, 0.9418454), (5, 0.011630537)]","안녕하세요 꽃수정입니다 :) 아이폰을 사용하는 유저로써,, <b>아이폰12</b>맥세이프케이스 안 써볼수가 없습니다 드라움가드에서 만든 TGD 맥세이프 호환되는 투명케이스를 사용해 보았어요 평소에 투명케이스... "
870,4.0,0.9417999982833862,"[(0, 0.01163221), (1, 0.011630019), (2, 0.0116319265), (3, 0.01163098), (4, 0.94184476), (5, 0.011630058)]",<b>아이폰 12</b> 미니의 크기는 기존 아이폰8 보다 작지만 액정 디스플레이 자체는 아이폰8보다 크기 때문에 사용하면서도 답답하다는 느낌을 받기 힘듭니다. 아무리 크기가 커도 홈버튼이 있으면 노치가 두꺼울... 
836,4.0,0.9417999982833862,"[(0, 0.011630547), (1, 0.011630413), (2, 0.011631813), (3, 0.011629385), (4, 0.94184756), (5, 0.011630264)]",<b>아이폰12</b> 강화유리 케이스 신상품 입고 스마토리&amp;애플마트 안녕하세요 신용산역 애플마트입니다 !!! <b>아이폰12</b>용 강화 유리와 케이스 신상이 입고되어서 소개시켜드려요 ~ <b>아이폰12</b> 시리즈 슬림핏 케이스... 
188,4.0,0.9341999888420105,"[(0, 0.013158639), (1, 0.0131595135), (2, 0.013160043), (3, 0.0131586455), (4, 0.9342046), (5, 0.0131585775)]",GawafitSleve <b>아이폰12</b> 슬리브 #Pueblo - Coccinella 안녕하세요. 광교 앨리웨이 1층에 위치한 가죽 주문제작 전문 가와레더 입니다. 이태리에서 수입한 천연 베지터블 소가죽인 푸에블로 가죽으로 제작된 <b>아이폰12</b>... 
938,4.0,0.9341999888420105,"[(0, 0.013162061), (1, 0.0131602), (2, 0.0131655745), (3, 0.013161795), (4, 0.9341896), (5, 0.01316075)]",안녕하세요 블로거 우주인입니다 :) <b>아이폰12</b>프로 구입한지 2주 정도 된거 같아요 아이폰7은 홈버튼이 있고 <b>아이폰12</b> 프로는 홈버튼이 없어서 처음 사용할 때는 너무 불편했어요 자꾸 홈버튼을 찾게되더라는... 
936,4.0,0.9341999888420105,"[(0, 0.013162042), (1, 0.013162164), (2, 0.013164706), (3, 0.013162737), (4, 0.9341872), (5, 0.013161185)]",사진 <b>아이폰12</b> Pro 사진 저 개인적으로는 카메라를 가장 기대하고 있습니다. 오늘은 개봉기이니 가볍게 아이폰11 pro와 12 pro로 주광에 찍은 사진 두 장 정도 올려봅니다. 자세한 비교나 디테일한 리뷰는... 
224,4.0,0.9341999888420105,"[(0, 0.013162276), (1, 0.0131623605), (2, 0.013160706), (3, 0.013162925), (4, 0.934188), (5, 0.013163764)]",강변 테크노마트 휴대폰 매장 <b>아이폰12</b> 프로 안녕하세요. 네이버 여행 인플루언서 고미리레 입니다.... 알아보며 <b>아이폰 12</b> 프로 기종을 살펴 봤어요. 예전에 차가 없을때에는 항상 고향집 갈때마다 들렸던... 
249,4.0,0.9341999888420105,"[(0, 0.013163722), (1, 0.0131643275), (2, 0.013159219), (3, 0.013162852), (4, 0.93418497), (5, 0.01316487)]",에어팟프로 케이스 꼭 할인받고 구매하세요 !! 이 포스팅은 엘라고의 협찬 제품으로 직접 사용한 후 솔직하게 쓴 리뷰입니다 #엘라고 #아이폰케이스 #<b>아이폰12</b>케이스 #에어팟케이스 #에어팟프로케이스
856,4.0,0.9341999888420105,"[(0, 0.013160053), (1, 0.013160024), (2, 0.013161007), (3, 0.013161438), (4, 0.9341974), (5, 0.013160079)]",착붙 끝 <b>아이폰 12</b> 미니 케이스 끼움 <b>아이폰12</b>미니 슬림케이스 zero03 : 바림 https://balim.co.kr #<b>아이폰12</b>미니케이스 #아이폰케이스 #투명케이스 #젤리케이스 #아이폰케이스 #아이폰바림 #바림 #바람케이그... 
560,4.0,0.9341999888420105,"[(0, 0.0131610595), (1, 0.013161584), (2, 0.013162998), (3, 0.013162368), (4, 0.9341846), (5, 0.013167415)]",가끔 12프로 시켰는데 미니가 오거나 그냥 12가 배송오는 경우도 있어서 다 뜯고 아니면... ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ #<b>아이폰12</b>프로투명케이스 #바림케이스 #끼움케이스 #아이폰케이스추천 #<b>아이폰12</b>케이스추천... 
356,4.0,0.9341999888420105,"[(0, 0.01315864), (1, 0.013159507), (2, 0.013159936), (3, 0.013158646), (4, 0.9342047), (5, 0.013158578)]",Leathercraft 2574 - #GawafitSleve <b>아이폰12</b>프로 슬리브 #Pueblo - Nero 안녕하세요. 광교 앨리웨이 1층에 위치한 가죽 주문제작 전문 가와레더 입니다. <b>아이폰12</b>프로 용으로 제작된 슬리브 가죽케이스입니다.... 
360,4.0,0.9341999888420105,"[(0, 0.013160179), (1, 0.013160141), (2, 0.013159504), (3, 0.013160613), (4, 0.9341993), (5, 0.013160261)]",#<b>아이폰12</b>pro투명케이스 #navipark #<b>아이폰12</b>pro케이스 #<b>아이폰12</b>투명케이스 #휴대폰케이스 #휴대폰케이스추천 <b>아이폰12</b>pro투명케이스 안녕하세요 영리한토끼입니다. 벚꽃이 활짝 피어~ 너무 이뻤는데.... 
655,4.0,0.9341999888420105,"[(0, 0.013163156), (1, 0.013162849), (2, 0.013161425), (3, 0.013164494), (4, 0.93418705), (5, 0.013161028)]","https://blog.naver.com/elvoice/222162258903 아이폰6S와 <b>아이폰 12</b> PRO <b>아이폰 12</b>와 12 Pro를 가격 측면에서 고민을 할 수 있지만, 무엇보다 광학 망원렌즈 하나가 더 있어서 였을까? 램이 6기가? 물론, 같은 사진... "
427,4.0,0.9341999888420105,"[(0, 0.013163607), (1, 0.01316065), (2, 0.013162125), (3, 0.01316222), (4, 0.93419075), (5, 0.013160646)]",#<b>아이폰12</b>프로케이스 아이폰의 그립감을 가장 잘 잡아준 #바림케이스 후기입니다! (어마어마한 얇음!!!!!) 케이스가 0.3mm로 아이폰자체의 그립감을 무너트리지 않아서 많이 기대했어요 #아이폰그립감... 
