Document_No,Dominant_Topic,Dominant_Percent,All_Percent,description
786,1.0,0.9341999888420105,"[(0, 0.013160994), (1, 0.9341922), (2, 0.013160658), (3, 0.013161136), (4, 0.013160069), (5, 0.013164971)]",제품들이기에 <b>아이폰12</b>를 포함한 아이폰 시리즈와 아이패드 및 맥북 등의 Apple 제품 그리고... 아이폰 8 이상의 제품의 경우 30분 만에 50%까지 충전할 수 있고 아이패드 프로(12.9인치)는 45분 만에 50... 
747,1.0,0.9341999888420105,"[(0, 0.013162581), (1, 0.93419397), (2, 0.013160226), (3, 0.013159907), (4, 0.0131623745), (5, 0.013160963)]",3년 동안 사용하던 아내의 아이폰8에서 새로운 <b>아이폰12</b>로 데이터를 옮겨줄 차례다. (온라인 자급제폰 / 유심기변) 우리는 언제부턴가 자급제폰 / 현금 박치기로 구입 Tip 64GB 용량에 허덕이던 아이폰8 새로운... 
725,1.0,0.9341999888420105,"[(0, 0.0131626725), (1, 0.93419486), (2, 0.013158986), (3, 0.013161416), (4, 0.013161293), (5, 0.013160762)]",그리고 무엇보다 새 거라서 ㅋㅋㅋㅋ 더 좋네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이 포스팅은 파트너스 활동을 통해 일정액의 수수료를 제공받을 수 있음 #내돈내산 #아이폰 #<b>아이폰12</b>pro #아이폰화이트실버... 
434,1.0,0.9241999983787537,"[(0, 0.015155754), (1, 0.92421776), (2, 0.015155956), (3, 0.0151539985), (4, 0.015157432), (5, 0.015159091)]",봄도 오고해서 <b>아이폰12</b>프로 케이스를 투명으로 바꿔봤어요 그래서 남겨보는 <b>아이폰12</b>프로 투명케이스 후기! 원래는 그립톡을 구맨한게 있어서 같이 부착해서 후기를 올리고 싶었는데 3월 30일에 순차적으로... 
527,1.0,0.9241999983787537,"[(0, 0.015155445), (1, 0.9242243), (2, 0.015154093), (3, 0.015156393), (4, 0.015156265), (5, 0.01515348)]",액정보호필름 / 방탄필름 / 슬림아머케이스 트라움가드 <b>아이폰12</b>pro 필름 <b>아이폰12</b>pro로 폰을 바꾸면서 여러가지 악세서리들을 구입하고 있는데요 <b>아이폰12</b>pro 액정보호필름을 알아보면서 트라움가드... 
246,1.0,0.9241999983787537,"[(0, 0.015155278), (1, 0.9242254), (2, 0.015154545), (3, 0.0151548805), (4, 0.015156131), (5, 0.015153763)]",일단 아이폰 요금제를 변경하기 위해서는 다른 휴대폰이 한대 더 필요합니다. 기존에 사용하던 공기계나 주변분들 거라던가 lte 폰이면 모두 무방합니다. 준비가 되셨으면 <b>아이폰12</b> 유심을 빼서 다른... 
402,1.0,0.9241999983787537,"[(0, 0.015154159), (1, 0.92423266), (2, 0.01515344), (3, 0.0151535515), (4, 0.015153077), (5, 0.0151531175)]","iPhone <b>12</b> mini white 블로그에 포스팅을 하거나, 친구에게 사진을 보여주거나, 무언가를 공유할 때 등 캡처... 않지만, <b>아이폰</b>이 하나뿐이라면 캡쳐 기능을 활용하는 수밖에 없다. 많은 사용자가 캡쳐기능을... "
226,1.0,0.9241999983787537,"[(0, 0.015153523), (1, 0.92422456), (2, 0.015154215), (3, 0.015153777), (4, 0.015159152), (5, 0.015154796)]",친환경 포장패키지는 아이폰 거치대로도 사용 가능해서 일석이조랍니다- <b>아이폰12</b> 강화유리필름 부착 방법 등 상세한 취급설명서도 들어있구요- 액상 UV 방식을 쓰지 않는 풀커버 강화유리로 액정을 전부... 
212,1.0,0.9241999983787537,"[(0, 0.015156858), (1, 0.92422223), (2, 0.015153865), (3, 0.015156927), (4, 0.015156733), (5, 0.015153373)]",직원분이 기포하나 먼지하나 없이 깔끔히 부착해주니까....ㅎㅎㅎㅎㅎ 이번에 <b>아이폰 12</b> pro 사면서... 골랐어요 #슈피겐 #글라스 #티알 #이지핏 #강화유리 #액정필름 #<b>아이폰12</b> #전면보호 #리뷰 #M50 슈피겐 글라스... 
525,1.0,0.9241999983787537,"[(0, 0.0151599385), (1, 0.9242114), (2, 0.0151590705), (3, 0.015155898), (4, 0.015156164), (5, 0.015157577)]","12, <b>아이폰 12</b> 미니 모델에 퍼플 컬러 라인업을 더했습니다. 지난 아이폰 11 때 선보였던 퍼플보다 조금... 참고로 교체할 때의 수수료는 단말기의 출고가 대비 12% 혹은 최소 교체 수수료 50,000원 중에서 더 큰... "
201,1.0,0.9241999983787537,"[(0, 0.015154694), (1, 0.9242125), (2, 0.015156791), (3, 0.015155444), (4, 0.015157924), (5, 0.015162606)]",아이폰 8 존버단이었는데 <b>아이폰12</b> pro 가격 저렴하게 살 수 있길래 질러버렸네요. 배터리 갈고 13까지... 12MP 호소가 될 정도로 선명하게 촬영할 수 있고 파노라마 찍을 때도 최대 63M 화소로 저장돼요. 디지털... 
742,1.0,0.9241999983787537,"[(0, 0.015157308), (1, 0.92422247), (2, 0.015155132), (3, 0.015156671), (4, 0.015153106), (5, 0.015155311)]",아이폰 치고는 꽤 넉넉한 용량이라 사용에 부족합이 없습니다! 저장공간은 3가지 중 128GB 모델로 구매했 는데요. 제가 사용하기에 딱 좋을 것 같습니다. <b>아이폰12</b> 미니 모델의 스펙 중 가장 좋은 부분은 단연... 
816,1.0,0.9241999983787537,"[(0, 0.015154313), (1, 0.92422783), (2, 0.015155073), (3, 0.0151532255), (4, 0.015155376), (5, 0.015154124)]",위해 #<b>아이폰12</b>프로 구매했어요 보다 커진 화면과 터치감을 즐기다보니 평소보다 다양하게 활용하고 있네요 지금 모바일로 #네이버블로그 오랜만에 포스팅하는 것 처럼 바르셀로나 갬성카페 “SKYE Coffee Co.”... 
875,1.0,0.9241999983787537,"[(0, 0.015155249), (1, 0.92422175), (2, 0.015154414), (3, 0.015155789), (4, 0.015157679), (5, 0.015155119)]",자급제로 한번에 구매하니 더 좋음 ㅎ <b>아이폰12</b> 박스는 기존에 비해 확실히 심플해졌다. 아이폰 충전 선은 주는데 아웃렛에 넣을 수 있는건 안주네? 뭐지;; 그래도 선만 있으면 되긴함 ㅎ 나의 원픽 <b>아이폰12</b>... 
101,1.0,0.9241999983787537,"[(0, 0.015155554), (1, 0.92421705), (2, 0.015155777), (3, 0.015156363), (4, 0.015158612), (5, 0.0151566565)]","<b>아이폰 12</b> 미니 범퍼케이스 : navipark 오늘의 포스팅은 <b>아이폰12</b>미니 투명케이스, <b>아이폰12</b>미니 카메라보호케이스! 두개 같이 포스팅 해볼게요:) 투명케이스는 크리스탈 아크릴+ TPU로 만들어져서 지문이나... "
848,1.0,0.9241999983787537,"[(0, 0.01515672), (1, 0.9242102), (2, 0.0151571855), (3, 0.015155613), (4, 0.015159461), (5, 0.015160844)]",케이스 갖고싶어하던 마미 소취 할인링크 ($40 이상 첫구매시 $10 할인) &amp; #케이스티파이 #케이스티파이케이스 #글리터케이스 #아이폰케이스 #<b>아이폰12</b> #<b>아이폰12</b>퍼플 #케이스추천 #아이폰케이스쇼핑몰 #casetify
341,1.0,0.9241999983787537,"[(0, 0.015154177), (1, 0.92422605), (2, 0.015153675), (3, 0.015152604), (4, 0.015159082), (5, 0.015154394)]","아이엠듀 풀커버 강화유리필름인 <b>아이폰12</b> 액정필름 부착후 사용해본 솔직후기를 준비해보았습니다!... 아이폰 액정필름 2개랑 알콜솜2개, 먼지제거 스티커도 2개 구성이에요. 실제로 박스패키지를 열어서... "
624,1.0,0.9107000231742859,"[(0, 0.017864296), (1, 0.9106918), (2, 0.017861938), (3, 0.01786259), (4, 0.017858434), (5, 0.017860956)]",그런데 그 대안이 아이폰이 되는 것 같다. <b>아이폰12</b>pro에서 apple raw 촬영을 지원한다. 사진 한 장의 용량이 만만치 않지만 보정하는 맛이 있다. 물론 야간에서 품질이 떨어진다. 그러나 콤팩트도 동일한... 
616,1.0,0.9107000231742859,"[(0, 0.017862307), (1, 0.9106966), (2, 0.017860305), (3, 0.017859628), (4, 0.017859988), (5, 0.017861122)]",음성 및 데이터 -&gt; LTE 이제부터는 기존 LTE요금제를 이용하면서 <b>아이폰12</b>프로를 그대로 이용합니다. 궁금하셨던 분들 도움 되셨나요? #<b>아이폰12</b> #아이폰 #lte요금제 #5G요금제 #자급제폰 #아이폰셀프개통 #셀프개통
349,1.0,0.9107000231742859,"[(0, 0.01786046), (1, 0.910694), (2, 0.017860183), (3, 0.017859075), (4, 0.017866457), (5, 0.017859796)]",도착한 <b>아이폰 12</b>pro 강화유리 액정보호필름 카루망코리아 구성은 이렇게 액정 보호 필름과 액정필름을... kr/ <b>아이폰 12</b>pro 강화유리 액정보호필름이 필요하신 분들이면 한번 들려서 구경해보셔도 좋을 듯 일단... 
931,1.0,0.9107000231742859,"[(0, 0.017860018), (1, 0.9106879), (2, 0.017861517), (3, 0.017862504), (4, 0.017863251), (5, 0.01786475)]","<b>아이폰 12</b> 미니라고 하면 무엇이 떠오르는가. 본인은 많은 사람이 기다렸던 4인치 스마트폰이 떠오른다.... 만약 <b>아이폰 12</b> 미니를 사용하고 있으며, 아직 선호하는 액정필름을 찾지 못했다면 아이엠듀 지문방지... "
917,1.0,0.9107000231742859,"[(0, 0.017859554), (1, 0.9106998), (2, 0.01785968), (3, 0.017863229), (4, 0.017859176), (5, 0.017858632)]",오빠의 소듕한 <b>아이폰12</b>를 지키기 위해 데려온 트라움가드 액정보호필름&amp;카메라보호필름 ヾ(❀╹◡╹)ﾉ~ 액정보호필름 하나만 딱 들어있는 타사 제품과 달리 트라움가드는 <b>아이폰12</b>프로 전면보호필름... 
890,1.0,0.9107000231742859,"[(0, 0.017863551), (1, 0.91069216), (2, 0.01786136), (3, 0.017862508), (4, 0.017861608), (5, 0.017858831)]",ㅋ #아이폰 #<b>아이폰12</b>미니 #아이폰데이터이전 #아이폰7 #sk기기변경 #<b>아이폰12</b> #기기변경 #아이폰연동 #휴대폰 #핸드폰 #새휴대폰 #새핸드폰 #아이폰이전 #IPhone #iPhone12mini #iPhone7
640,1.0,0.9107000231742859,"[(0, 0.01786421), (1, 0.91069263), (2, 0.01785998), (3, 0.017861806), (4, 0.017861214), (5, 0.017860217)]",핸드폰에는 크게 관심 없었는데 이상하게 이번 <b>아이폰12</b>는 자꾸만 욕심이 나더라고요. 그래서 고민 끝에 지난주에 <b>아이폰 12</b>프로 맥스로 바꿔버렸어요. ㅎㅎ 아~ 몰라~ 무겁다는 얘기들이 많았었는데 제가 기존에... 
471,1.0,0.9107000231742859,"[(0, 0.017859517), (1, 0.910703), (2, 0.01785988), (3, 0.017858544), (4, 0.017860126), (5, 0.017858904)]",대략 70기가 바이트 용량이었음) 이상으로 아이폰 마이그레이션 방법을 마치겠다. 모두들 new 아이폰으로 화사한 봄날의 추억을 많이 만들기를 바란다~ #<b>아이폰 12</b> #아이폰 마이그레이션 #아이폰 데이터 옮기기
637,1.0,0.9107000231742859,"[(0, 0.017861392), (1, 0.910687), (2, 0.017866403), (3, 0.017862301), (4, 0.017862441), (5, 0.01786046)]",적어도 12와 <b>아이폰12</b> 미니에는 6GB 정도 넣어주고 Pro 라인업에는 8GB 정도 넣어주면 어땠을까 하는... 기존 아이폰8보다도 작은 크기에 133g이라는 가벼운 무게로 산뜻하게 휴대하고 다닐 수 있다는 점이... 
745,1.0,0.9107000231742859,"[(0, 0.017865561), (1, 0.9106765), (2, 0.017864672), (3, 0.017859308), (4, 0.017867519), (5, 0.017866418)]",<b>아이폰12</b> 시리즈의 인기가 식을 줄 모르고 여전히 계속되고 있습니다. 그 결과 내년에는 판매량을 30... 이번 포스팅에서는 스마트폰 보호뿐 아니라 디자인까지 세심하게 배려한 루나코코 <b>아이폰12</b> 프로 가죽... 
629,1.0,0.9107000231742859,"[(0, 0.017862523), (1, 0.9106896), (2, 0.017859776), (3, 0.017864142), (4, 0.017861078), (5, 0.017862868)]","아이튠즈 연결후 아래와 같이 기존 사용중이던 iPhone XS 백업을 해줍니다 이제 <b>아이폰12</b> 프로를 기존 아이폰XS에서 복원하기로 합니다. 백업한 날짜별로, 기종별로 있기 때분에 최신 백업분을 복원하면 됩니다... "
544,1.0,0.9107000231742859,"[(0, 0.017861864), (1, 0.9106932), (2, 0.017859815), (3, 0.017861895), (4, 0.017859865), (5, 0.017863363)]","오늘은 <b>아이폰 12</b>개통 후기 입니다. ㅎㅎ 윤*규 고객님. 오늘 저희 매장을 방문해주셔서 정말로... 기존 핸드폰 잃어버리셔서 많이 속상하시겠다며 다독여드리고, 새로운 핸드폰인 <b>아이폰12</b> 128G 화이트 색상으로... "
