Document_No,Dominant_Topic,Dominant_Percent,All_Percent,description
62,5.0,0.9569000005722046,"[(5, 0.9568836)]",<b>아이폰12</b> 맥세이프 충전기 초텍 2in1 에어팟 프로도 함께! <b>아이폰12</b> 시리즈부터 맥세이프 충전기능을 지원하고 있는 거 알고 계시죠? 하지만 그동안 집에서 일반 무선충전기만 사용했었는데요. 오늘은... 
16,5.0,0.9569000005722046,"[(5, 0.9568873)]","오늘은 <b>아이폰12</b> 미니 가격 소식과 함께 새로운 컬러 퍼플이 후기를 전해드리려고 합니다. 이미... 맥세이프를 사용하면 최대 12W 충전이 가능합니다. 스토리지의 경우 64GB부터 시작을 합니다. 64GB, 128GB, 256GB... "
345,5.0,0.9527999758720398,"[(5, 0.9528193)]","지금까지 사용해본 제품 중 역대급으로 예쁜 디자인의 <b>아이폰12</b> 충전기를 오늘 소개하려고 합니다.... 아이폰의 경우 7.5W 고속무선충전으로 사용이 가능하고, 갤럭시의 경우 10W 충전으로 사용이 가능합니다.... "
755,5.0,0.9527999758720398,"[(5, 0.95282215)]","LG유플러스<b>아이폰12</b> , <b>아이폰12</b> , 아이폰1264기가 <b>아이폰12</b>가 예약판매를 진행하면서 폭발적인 인기를 얻고 있는 상황입니다. 우리나라의 경우 역대최대의 사전예약으로 돌풍을 일으키고 있는데요... "
10,5.0,0.9478999972343445,"[(0, 0.010418348), (1, 0.010418249), (2, 0.0104189925), (3, 0.010418315), (4, 0.010417591), (5, 0.94790846)]",최근 발표회를 통해 퍼플 색상이 깜짝 공개되며 다시금 주목을 받고 있는 <b>아이폰12</b> 미니입니다. 일반형... 이번 iPhone12 mini는 5.4인치 소형 디스플레이를 탑재하고 있는 작은 모델이지만 스펙이 떨어지는... 
709,5.0,0.9478999972343445,"[(0, 0.010422574), (1, 0.010420643), (2, 0.010419706), (3, 0.010421188), (4, 0.010419536), (5, 0.9478963)]","이번 <b>아이폰 12</b>는 예전 아이폰 6과 비슷한 디자인으로 돌아갔습니다. 이제까지 아이폰 디자인은... 요즘 삼성전자 주력 프리미엄 기종은 최소 8기가의 메모리 램, 최대 12기가의 메모리 램을 탑재하고... "
132,5.0,0.9478999972343445,"[(0, 0.0104187215), (1, 0.010418763), (2, 0.010418316), (3, 0.010418141), (4, 0.010417874), (5, 0.94790816)]","맥세이프 지원 및 에어팟도 충전 가능, 초텍 2in1 맥세이프 <b>아이폰12</b> 충전기 사용해보니 작년에 애플 <b>아이폰 12</b> 프로 맥스를 구입 후 다양한 악세서리 제품들을 구입하고 있습니다. 그 중 가장 많이 구입한... "
123,5.0,0.9478999972343445,"[(0, 0.0104176), (1, 0.010418905), (2, 0.010418749), (3, 0.010417935), (4, 0.010417685), (5, 0.9479092)]","가능해서 아이폰으로 영화 한편 만드는건 이제 새로운 일도 아니게 됬어요. 배터리 용량은 3,687mAh로 유선충전 20W, 맥세이프 15W, 무선 7.5W을 지원한다고 해요. <b>아이폰12</b>promax에 탑재된 카메라 센서는... "
951,5.0,0.9478999972343445,"[(0, 0.01042024), (1, 0.0104213), (2, 0.0104215555), (3, 0.010422363), (4, 0.010419117), (5, 0.94789547)]",iPhone 12 Pro MAX 휴대폰은 맥세이프라는 기능이 있기에 이 기능을 최대한 활용하고자 했어요 맥세이프(MagSafe) 기능이란? <b>아이폰 12</b> 시리즈부터 적용된 기능으로 강력한 자성을 이용하여 무선충전의 정확한... 
99,5.0,0.9417999982833862,"[(0, 0.011631218), (1, 0.0116299195), (2, 0.011630327), (3, 0.011633245), (4, 0.011630417), (5, 0.94184494)]","해당 직원 분은 현재 <b>아이폰 12</b> 프로 256 기가 모델이 싸게 나와서 연락을 드렸다며, 지금 사용하는... 원래 '아이폰 5S'에서 스마트폰을 사용하기 시작해 아이폰 7 플러스, 그다음 아이폰 XS로 왔기 때문에 12... "
43,5.0,0.9417999982833862,"[(0, 0.0116306115), (1, 0.011636838), (2, 0.011630537), (3, 0.011629964), (4, 0.011629384), (5, 0.9418427)]","이번에 새롭게 출시한 맥세이프도 지원을 하는데, 편리하게 부착해서 무선 충전도 가능하고, 카드지갑 케이스를 아이폰에 부착하여 이용할 수도 있다. <b>아이폰12</b>미니에서 여러 철학과 설계가 들어갔으며... "
469,5.0,0.9417999982833862,"[(0, 0.011630426), (1, 0.011631446), (2, 0.011630294), (3, 0.011631114), (4, 0.01163235), (5, 0.94184434)]","좌측에 <b>아이폰 12</b> 프로 슬림 케이스도 아주 맘에 듭니다. ) 요 제품은 10,000mAh 의 용량을 지니고 있는 보조 배터리인데요, 특이하게도 맥세이프 충전을 지원해서, 유사시에 맥세이프를 지원하는 <b>아이폰 12</b> 이상... "
