Document_No,Dominant_Topic,Dominant_Percent,All_Percent,description
175,3.0,0.9569000005722046,"[(3, 0.9568865)]","[<b>아이폰12</b> 스펙은] 저렴한 가격에 구매했지만 아이폰은 원래 인기도 많고, 높은 사양의 휴대폰이죠. 외관은 전면 세라믹 실드, 후면 글래스 소재로 되어있어요. 색상도 블랙, 화이트, 레드, 그린, 블루, 그리고... "
576,3.0,0.9527999758720398,"[(3, 0.9528111)]","그라파이트의 차분한 컬러와도 잘 어울렸고, 기본적으로 제가 블루를 선호하다 보니 역시 아이폰 케이스 선택도 그쪽을 따르게 됩니다. <b>아이폰12</b>의 색상은 블랙, 화이트, 레드, 그린, 블루 5종, <b>아이폰 12</b> pro는... "
569,3.0,0.9527999758720398,"[(3, 0.95281047)]","트라움가드 <b>아이폰12</b>프로 보호필름 장점은? 1. 아이폰 전면에 굴곡진 부분까지 완벽 커버해주는 디자인 2. 방탄유리로 튼튼하다는 점! 3. 쉽게 붙일 수 있는 구성으로, 클리너까지 포함된 패키징! 3. 붙인 후... "
871,3.0,0.9478999972343445,"[(0, 0.010419146), (1, 0.010418475), (2, 0.010420505), (3, 0.94790375), (4, 0.010419609), (5, 0.010418489)]","<b>아이폰12</b>pro 케이스 이것만 사용해요! 오래전부터 갤럭시에서 아이폰으로 넘어갈지 말지를 종종... 그리고, <b>아이폰12</b>랑 12프로는 전체 크기는 동일하기 때문에 악세사리는 호환이 가능하다고해요. 케이스는... "
959,3.0,0.9478999972343445,"[(0, 0.01041963), (1, 0.010419218), (2, 0.010419769), (3, 0.9479002), (4, 0.010419408), (5, 0.010421846)]","제가 고른 <b>아이폰 12</b> pro 색상은 퍼시픽블루인데요. 신규 컬러기도 하고 오묘함과 함께 시크함이... 후면에 있는 트리플 카메라는 12MP 초광각과 광각, 그리고 망원렌즈가 탑재되어 있고 전면부에는 1200만화소... "
647,3.0,0.9417999982833862,"[(0, 0.011631191), (1, 0.011631417), (2, 0.011630041), (3, 0.94184273), (4, 0.011632985), (5, 0.011631689)]",<b>아이폰 12</b> PRO MAX 사전예약 : 이거 살만할까? 본 포스팅에 사용된 이미지의 출처는 모두 애플 공식... 저는 개인적으로 이 부분이 가장 끌리기 때문에 이번 12에 의미가 있다고 생각하고 지름도 고민하고... 
449,3.0,0.9417999982833862,"[(0, 0.011629802), (1, 0.011630451), (2, 0.01163091), (3, 0.94184566), (4, 0.011631119), (5, 0.011632088)]",얼마전 애플은 iPhone12와 iPhone12 mini의 눈부신 새 퍼플 색상을 공개했습다. 새로운 색상은 정밀... iOS 14.5에 관한 내용은 아래 링크를 참고하세요 #아이폰퍼플 #아이폰보라색 #<b>아이폰12</b> #<b>아이폰12</b>미니
960,3.0,0.9417999982833862,"[(0, 0.011629751), (1, 0.01163104), (2, 0.01162997), (3, 0.94184846), (4, 0.011629489), (5, 0.011631313)]",참고로 <b>아이폰12</b> 프로의 경우 전면 액정이 파손되면 약 45만 원 정도의 수리 비용이 발생합니다. 수리 비용이 부담되어서 아이폰을 깨진 상태로 사용하시는 분들도 종종 볼 수 있는데요. 여러분은 오늘 리뷰... 
348,3.0,0.9417999982833862,"[(0, 0.011632827), (1, 0.011631162), (2, 0.011631792), (3, 0.9418427), (4, 0.011630477), (5, 0.0116311)]",그러면 간단하게나마 <b>아이폰12</b> Pro 자급제 혜택에 대해서 알아봤으니 추가 할인을 받는 방법과 스마트폰 자체의 스펙 및 특징에 대해서도 한개씩 풀어보는 시간을 갖도록 할게요. 사실 iPhone12 시리즈... 
505,3.0,0.9417999982833862,"[(0, 0.011629667), (1, 0.011630571), (2, 0.011633182), (3, 0.941843), (4, 0.011631993), (5, 0.011631573)]",뒀던 <b>아이폰12</b> 미니 화이트 색상으로 선택 후 구매를 했답니다. 저는 물건을 인터넷으로 주문해서... iPhone12와 iPhone12 MINI 색상은 동일하기 때문에 스마트폰 사이즈나 디스플레이 크기로만 구분을 해 선택하면... 
650,3.0,0.9417999982833862,"[(0, 0.011632162), (1, 0.011630018), (2, 0.011628718), (3, 0.94184726), (4, 0.011630904), (5, 0.011630965)]","잇님들 드디어 약 한시간 후면 <b>아이폰12</b>미니 사전예약이 시작되요. 두구두구두구 저는 폰을 바꾼지 얼마 안되었는데, 저희 언니는 아이폰만 쓰고있어서, 이번에 자급제로 구매한다고 하더라구요. 전 최근에는... "
185,3.0,0.9341999888420105,"[(0, 0.013159586), (1, 0.0131601915), (2, 0.013159771), (3, 0.9341996), (4, 0.013159815), (5, 0.013161042)]",현재 아이폰은 #<b>아이폰12</b> 까지 출시가 된 상태이며 2020년 하반기 출시를 해 얼마 전까지도 어마어마한 판매량을 기록했었습니다. 이게 다 사람들의 니즈에 맞게 적당한 변화를 시도했기 때문이라고 생각을... 
120,3.0,0.9341999888420105,"[(0, 0.013162918), (1, 0.013161136), (2, 0.013161818), (3, 0.93418753), (4, 0.013162751), (5, 0.013163864)]","Mellow © rmrdnl, 출처 Unsplash 애플은 지난해 말, <b>아이폰12</b>를 출시했다. 당시 출시컬러는 화이트, 블랙, 레드, 그린, 블루. 아이폰11에 있던 옐로와 퍼플 컬러가 없어서 매니아층 사이에서는 다소 아쉽다는... "
912,3.0,0.9341999888420105,"[(0, 0.01316237), (1, 0.013164169), (2, 0.013164466), (3, 0.9341813), (4, 0.013163807), (5, 0.013163917)]","ㅎㅎ <b>아이폰12</b> 뿐만 아니라 <b>아이폰12</b>미니, <b>아이폰12</b>프로, <b>아이폰12</b>프로맥스, 아이폰X/XR/SE2까지 기종별로 있더라구요. 이 제품은 아래에 링크된 네이버 스마트스토어에서 확인 가능합니다. 슈피겐 <b>아이폰12</b>... "
615,3.0,0.9341999888420105,"[(0, 0.013160491), (1, 0.013159695), (2, 0.013159236), (3, 0.9342025), (4, 0.013159193), (5, 0.013158886)]","- 그리고 <b>아이폰 12</b>프로 맥스의 최근 쿠팡 구매가격은 155만원 정도입니다. 시간이 조금 흘러서 올해 12월이 되면 또, 아이폰 13이 시장에 출시되겠지요? 그럼 이전 디바이스들의 현재 출시가격과 중고가격을... "
451,3.0,0.9341999888420105,"[(0, 0.013161998), (1, 0.013160156), (2, 0.013161582), (3, 0.9341951), (4, 0.013159841), (5, 0.013161311)]",우리나라에서 정한 <b>아이폰12</b>미니의 출고가는 95만원입니다. 아이폰11의 가격이 99만원이었던 것을 참작하면 확실히 애매한 편입니다. 그렇지만 최근에 공시지원금이 이전보다 높게 잡혀있는 상태이기 때문에... 
738,3.0,0.9341999888420105,"[(0, 0.013162159), (1, 0.013162479), (2, 0.0131611135), (3, 0.934193), (4, 0.013159549), (5, 0.0131616555)]","<b>아이폰 12</b> 프로 맥스 256GB 퍼시픽 블루 전체 패키지 구성품입니다. 아이폰 본체, 설명서, 라이트닝 충전 케이블 각 1개, 딸랑 이게 전부입니다. 그리고, 애플의 친환경 정책에 의해서 액정 보호 필름지 대신에 종이... "
147,3.0,0.9341999888420105,"[(0, 0.013163025), (1, 0.01316229), (2, 0.013161401), (3, 0.93418956), (4, 0.013160694), (5, 0.013163027)]","요즘 관심을 갖고있는 기종이 아이폰 프로 12 모델인데요, 단순히 아이폰을 구입할 때 보상판매 금액을 적용한다고 가정하고 계산을 해보도록 할께요. 애플스토어에서 <b>아이폰12</b> pro (128GB) 모델 정가는 1... "
542,3.0,0.9341999888420105,"[(0, 0.0131613985), (1, 0.013161006), (2, 0.013162598), (3, 0.9341942), (4, 0.013159668), (5, 0.013161147)]","들어왔어요 <b>아이폰12</b> 미니, 이게 맘에 든다고 하더라고요 아이폰 쓰다가 갤럭시 잠깐 써봤는데 적응 못하겠고, 그리고 너무 크지 않은 사이즈를 원해서요. 색상은 화이트, 재고가 다른 매장에 있어서 오는데 시간... "
404,3.0,0.9241999983787537,"[(0, 0.015153849), (1, 0.015153474), (2, 0.0151539), (3, 0.9242286), (4, 0.0151563585), (5, 0.015153806)]",12시간도 되지 않아 도착~ C타입에 고속충전만 잘 되어라~ 하고 주문했는데 포장상태도 나쁘지 않습니다. 디자인도 화이트라 쏘쏘 요 구멍이 바로 이전 아이폰 어댑터와 다른 C타입 구멍이죠. 이번에 <b>아이폰12</b>... 
896,3.0,0.9241999983787537,"[(0, 0.015156995), (1, 0.01515438), (2, 0.015155971), (3, 0.92422277), (4, 0.015154738), (5, 0.015155146)]","<b>아이폰12</b> 나온지 한달정도인데 벌써 아이폰13의 혁신적인 디자인, 기능들에 대한 루머가 나오고 있습니다. 어떤 기능일지 궁금하면서도, 기술 혁신도 좋지만 소비자를 리딩하면서도 소중하게 생각하는 비즈니스... "
241,3.0,0.9241999983787537,"[(0, 0.015155809), (1, 0.0151583105), (2, 0.0151545275), (3, 0.9242214), (4, 0.015155733), (5, 0.015154241)]",오늘은 <b>아이폰 12</b>프로맥스 리얼 카본케이스 포스팅을 해보려고 합니다. 카본을 개인적으로 엄청... 아이폰 유저들은 실제로 써보면 왜 착 달라붙는다는지 잘 알지 않을까라는 생각을 해봅니다. 카본 케이스를... 
227,3.0,0.9241999983787537,"[(0, 0.0151574705), (1, 0.01515939), (2, 0.015156461), (3, 0.9242136), (4, 0.015154441), (5, 0.015158642)]",&amp; <b>아이폰12</b>와 12프로는 #케이스 호환이 가능합니다. 이 제품 같은 경우에는 카메라 부분을 덮지 않고 개방형이라 서로 호환이 가능하죠. 저렴이 케이스라 특별한것은 없는 구성입니다. 살짝 비쳐 보이는 무광... 
693,3.0,0.9241999983787537,"[(0, 0.015155081), (1, 0.015154709), (2, 0.015156703), (3, 0.924222), (4, 0.015156954), (5, 0.015154574)]","산지 좀 된 지름일기~ 사전 예약으로 받아서 바로 받았던 <b>아이폰12</b> 미니 블루...! 아이폰11을 겨우 1년 정도 썼었는데 왜 이렇게 빠르게 갈아타게 되었느냐,,,, 그건 바로 무게 때문에 폰 게임을 좋아 하지만... "
630,3.0,0.9241999983787537,"[(0, 0.0151553955), (1, 0.015153486), (2, 0.015152842), (3, 0.9242259), (4, 0.015154225), (5, 0.015158112)]",https://coupa.ng/bYEIRW 현재 쿠팡에서 출고가 할인으로 파는 <b>아이폰12</b> 자급제 단말기입니다. 116만원단말기 1%할인으로 114만5천으로 아이폰 자급제 단말기는 큰 할인없이 판매중인 상태입니다. 케이스나... 
