Document_No,Dominant_Topic,Dominant_Percent,All_Percent,description
443,2.0,0.9527999758720398,"[(2, 0.9528128)]","다양한 색상이 있는데 레드를 좋아해서 강렬한 레드 색상으로 주문해봤어요 ^^ 왼쪽은 기존 <b>아이폰12</b>프로 퍼시픽블루색상 그리고 오른쪽은 컬러스킨 레드색상 아이폰에는 이미 전면, 측면 보호필름을 투명으로... "
51,2.0,0.9527999758720398,"[(2, 0.95281756)]",참고로 이번 퍼플 컬러는 <b>아이폰12</b> 및 mini 제품에 한 해 추가로 출시되었습니다. 스펙의 경우 12시리즈와 크게 다를 것이 없습니다. 6.1인치 화면 크기와 162g의 무게로 전작보다 가볍고 컴팩트한 크기를... 
14,2.0,0.9527999758720398,"[(2, 0.9528203)]",오늘은 제가 얼마전에 겟한 #<b>아이폰12</b>퍼플 소개를 해볼까해요!!!!ㅎㅎㅎ 사실 저는 원래 갤럭시를... 제 친구는 아이폰13이랑 12퍼플 고민하던데 저는 그냥 12퍼플로도 충분히 만족해여 ㅠㅠㅠㅠ 앞으로... 
452,2.0,0.9527999758720398,"[(2, 0.95282125)]",아이폰6s vs <b>아이폰12</b> mini 크기비교 사이즈 자체는 미묘하게 6s가 크지만 디스플레이는 12 미니에서 홈버튼이 사라지면서 더 넓어졌다. 그래서 <b>아이폰12</b> mini를 사용하는데 6s 대비 작다는 생각이 1도 안듬!... 
25,2.0,0.9527999758720398,"[(2, 0.9528203)]",<b>아이폰 12</b> pro 가격은 100만원대이며 12 시리즈의 네가지 라인업 중 두번째로 높은 모델인데요. 그래서 기본 성능이 다른 기종보다 높은편입니다. 다른점은 기본 사이즈와 디스플레이 크기와 해상도 등... 
824,2.0,0.9478999972343445,"[(0, 0.010419548), (1, 0.010418723), (2, 0.94790053), (3, 0.010420211), (4, 0.010421729), (5, 0.010419287)]","전체적으로 아웃 포커싱이 자연스럽게 적용된 스마트폰은 개인적으로 삼성 갤럭시 S21 울트라라고 생각하며, 아이폰은 역시 일부 필사체에서 조금 어색하게 적용되는 경우가 간혹 있는데, 이번 <b>아이폰 12</b>... "
642,2.0,0.9478999972343445,"[(0, 0.010418145), (1, 0.010419757), (2, 0.9479047), (3, 0.010419147), (4, 0.010418317), (5, 0.010419948)]",갤럭시 s21 울트라 와 <b>아이폰12</b> 프로 맥스 의 스펙 차이를 비교 제품 이름 삼성 Galaxy S21 Ultra 애플 iPhone 12 Pro Max 발매일 2021년 04월 22일 2020년 11월 13일 시리즈 갤럭시 (GALAXY) 아이폰 (iPhone)... 
970,2.0,0.9478999972343445,"[(0, 0.010418946), (1, 0.0104191685), (2, 0.9479044), (3, 0.010419279), (4, 0.010418339), (5, 0.010419804)]","프로, 아이폰11 프로, <b>아이폰12</b> 미니 순서입니다. 한 눈에 봐도 크기 차이가 눈에 들어오네요. 후면보다는 전면으로 봤을 때 차이는 더 분명하게 느껴집니다. 6.1인치의 12 프로와 5.4인치의 12 미니라서 보여지는... "
888,2.0,0.9478999972343445,"[(0, 0.010419631), (1, 0.010418482), (2, 0.94789773), (3, 0.01042022), (4, 0.010421448), (5, 0.01042245)]","중저가 아이폰 판매 역량을 강화하려는 측면으로 이해하고 있습니다. 그래서, 이번에 등장할 새로운 뉴페이스는 <b>아이폰12</b> 미니 모델이며 5.4인치 액정의 기본형과 6.1인치 크기의 프로 모델 그리고 6.7인치로... "
520,2.0,0.9478999972343445,"[(0, 0.010419363), (1, 0.010418064), (2, 0.9479046), (3, 0.010420106), (4, 0.010418489), (5, 0.010419426)]","한참을 고민하다가 가격도, 스펙도, 디자인도, 사이즈도 마음에 쏙 드는 Apple의 iPhone12 기본으로 지금... <b>아이폰12</b>의 전작인 아이폰11 처음 출시 당시에 소개되었던 A13 바이오닉 프로세서도 현재 사용하기에... "
115,2.0,0.9417999982833862,"[(0, 0.0116305025), (1, 0.011630117), (2, 0.941847), (3, 0.011629941), (4, 0.011632878), (5, 0.011629489)]","갤럭시S21이 아이폰을 따라 한 게 되네요ㅎㅎ <b>아이폰12</b> 미니 퍼플폰은 지난 10월 <b>아이폰12</b> 시리즈... 한 손에 감기는 안정적인 그립감과 가벼운 무게로 휴대성을 높인 12 Mini, 과연 단종 위기를 딛고... "
177,2.0,0.9417999982833862,"[(0, 0.011631508), (1, 0.011631607), (2, 0.94184315), (3, 0.011632698), (4, 0.011630693), (5, 0.01163035)]",이전 아이폰11과 비교했을때도 확연하게 퍼플 색상 차이가 납니다. 누가봐도 <b>아이폰12</b> 색상이... 그렇기에 나는 가볍고 작은 5.4인치 쓸려면 미니고 기본 화면을 선호하면 12입니다. 구성품 &quot;<b>아이폰12</b>... 
997,2.0,0.9417999982833862,"[(0, 0.011628897), (1, 0.011630584), (2, 0.94184774), (3, 0.0116308), (4, 0.011629949), (5, 0.011632035)]","4형(대각선) 전면 화면 OLED 디스플레이 2340 x 1080 픽셀 해상도(476ppi) iPhone 12 mini 디스플레이는... 스펙 <b>아이폰12</b> 미니는 5.4인치 화면을 탑재했습니다. 전체 크기는 4.7인치 ‘아이폰8’, ‘아이폰SE... "
426,2.0,0.9341999888420105,"[(0, 0.0131640555), (1, 0.013162979), (2, 0.9341825), (3, 0.013163413), (4, 0.013163018), (5, 0.01316399)]","생폰의 느낌 그대로_balim kkium_바림 끼움 <b>아이폰 12</b>미니 슬림케이스 어느날, 언제나 기분좋은 소식.... 아이폰 SE 2020을 사용할 때는 경험하지 못했던 문제였는데, 12 미니로 변경을 했더니... 핸드폰 거치대의 폰을... "
766,2.0,0.9341999888420105,"[(0, 0.013160446), (1, 0.013161063), (2, 0.9341924), (3, 0.013161997), (4, 0.013164549), (5, 0.013159516)]","INFORMATION - Model : #가와핏슬림 - Leather : #푸에블로 , Badalassi Carlo , Italy - Color : #Nero - Thread : #Mara - Stamp : #무광은박 - Phone : #<b>아이폰12</b> <b>아이폰 12</b>와 12프로에 맞는 케이스입니다. 동일한 크기로 제작됩니다.... "
140,2.0,0.9341999888420105,"[(0, 0.013161582), (1, 0.013162316), (2, 0.93419415), (3, 0.013160568), (4, 0.01316085), (5, 0.01316052)]","폰 기종에 딱 맞게 디자인 되어있답니다 :) * <b>아이폰 12</b> / <b>아이폰12</b> pro 케이스는 서로 호환됩니다! 저는 평소에 폰 케이스를 구매할 때 두 가지를 가장 먼저 보는데요, 그 중 첫번째는 아이폰 유저들이라면 공감... "
171,2.0,0.9341999888420105,"[(0, 0.0131640155), (1, 0.013160094), (2, 0.934189), (3, 0.013160557), (4, 0.0131631475), (5, 0.013163157)]",힐링쉴드 투명케이스 <b>아이폰12</b> 프로맥스 높디높은 가격과 한번의 실수에 박살날지 모르는 귀한 몸인... 오늘 소개할 제품은 이 두가지 니즈를 만족시킬 케이스 힐링쉴드에서 나온 <b>아이폰12</b> 프로맥스용... 
606,2.0,0.9341999888420105,"[(0, 0.013168634), (1, 0.013166543), (2, 0.9341699), (3, 0.013172395), (4, 0.013161435), (5, 0.013161092)]",주문한 아이폰이 오늘 회사로 도착해서 점심 먹는 걸 포기하고 기본 셋팅을 했다 기기변경이라 유심만 꽂으면 되는 간단한 셋팅인데 애플id를 까먹어서 잠시 헤매기도... <b>아이폰12</b> 256GB 화이트 투명케이스와... 
333,2.0,0.9341999888420105,"[(0, 0.013158963), (1, 0.01316073), (2, 0.9341981), (3, 0.013161818), (4, 0.01315943), (5, 0.013161014)]",<b>아이폰12</b> 색상 다음으로 마음에 든건 스펙! 인데요. 현재까지 출시된 아이폰 시리즈 중 TOP3안에 드는 것 같아요. 일단 크기부터 알려드리면 6.1인치 크기를 갖추고 있는데요! 거기에 OLED가 적용된 XDR슈퍼 레티나... 
600,2.0,0.9341999888420105,"[(0, 0.013160402), (1, 0.013161715), (2, 0.934197), (3, 0.013159519), (4, 0.013162174), (5, 0.013159218)]",저도 <b>아이폰12</b>미니를 들다가 12프로를 들면 무게차이가 꽤 나요 . 케이스 언박싱 너무 얇아서... 빈틈없이 아이폰과 완벽하게 하나가 된 모습! 정말 케이스 끼운것같지않죠? 지문이 많이 묻는 케이스가 있는데... 
