Document_No,Dominant_Topic,Dominant_Percent,All_Percent,description
12,0.0,0.9527999758720398,"[(0, 0.9528224)]","▶<b>아이폰12</b> 퍼플 사전예약 바로가기[클릭] 12 시리즈는 작년 하반기에 나온 모델이며 일반,미니,프로,프로맥스 4가지 라인업으로 구성 된 스마트폰입니다. 색상은 라인업이 올라갈수록 그래파이트,골드 등 추가... "
308,0.0,0.9527999758720398,"[(0, 0.95282036)]",힐링쉴드 <b>아이폰12</b>미니필름 구성 위에가 아이폰측면필름 아래가 아이폰후면필름! 격자무늬가 있는 것도 있는데 나는 격자 없는걸로 선택 재질은 요런 느낌! 예전엔 격자 있는거 썼는데 이번에는 화이트라... 
465,0.0,0.9478999972343445,"[(0, 0.94790304), (1, 0.010419412), (2, 0.010418684), (3, 0.010420231), (4, 0.010418975), (5, 0.010419671)]","일단 박스를 열자마자 딱 보이는 또렷하고 영롱한 색감이 아이폰답다 싶더군요. <b>아이폰12</b>나 <b>아이폰12</b> 미니와 같은 기본형은 화이트, 블루, 레드, 그린, 블랙 이렇게 다섯 가지 컬러로 출시가 되었는데요. 전부 다... "
393,0.0,0.9478999972343445,"[(0, 0.94790375), (1, 0.010420065), (2, 0.010418652), (3, 0.010420613), (4, 0.010418571), (5, 0.0104184)]",있고 iOS 14 소프트웨어에서 실행되며 동일한 카메라가 있습니다. 아이폰13을 기다리기 힘드신 분들은 이번 사전예약 꼭 참여 하시길 바랍니다. 이상 <b>아이폰12</b> 퍼플 사전예약 포스팅 이었습니다.^^
835,0.0,0.9478999972343445,"[(0, 0.9478973), (1, 0.010421392), (2, 0.010418353), (3, 0.010420992), (4, 0.010419986), (5, 0.010421939)]",그런데 제가 이번에 12시리즈 중에서도 <b>아이폰12</b> Pro 골드를 할인받아 구매했는데요. 이 모델을 선택약정 할인으로 구매하면서도 출고가 대비 30만 원 정도 저렴한 가격으로 구매할 수 있었기에 구매 후기... 
273,0.0,0.9417999982833862,"[(0, 0.9418386), (1, 0.011631593), (2, 0.011631907), (3, 0.011632102), (4, 0.011630285), (5, 0.011635474)]",제가 눈여겨봤던 아이폰 기종은 <b>아이폰12</b>시리즈 중 하나로 구매를 하려고 생각했었는데요. 서초 휴대폰싼곳 중 하나로 만족하면서 사용하고 있어요. 보통 플래그십 모델들의 경우에는 100만원은 우습게... 
788,0.0,0.9417999982833862,"[(0, 0.94184387), (1, 0.01163021), (2, 0.011631525), (3, 0.011630657), (4, 0.011633497), (5, 0.011630236)]",촉감도 좋고 케이스 자체도 튼튼한 것 같아서 만족합니당 :) 자세한 정보는 링크 달아놓을게용! 보러가세용 :) #정품실리콘케이스 #애플케이스 #아이폰케이스 #<b>아이폰12</b>미니실리콘케이스 #<b>아이폰12</b>미니케이스
181,0.0,0.9417999982833862,"[(0, 0.9418487), (1, 0.011630246), (2, 0.01163097), (3, 0.011630325), (4, 0.011629029), (5, 0.01163077)]","그동안 버틴 제 자신이 자랑스러워요 ㅋㅋ 제가 생각하고있는 폰은 작년 하반기 나온 <b>아이폰12</b> 프로인데요. 4가지 라인업 중 2번째 모델이에요 12시리즈는 일반,미니,프로,pro max 구성이 되어있는데요.... "
752,0.0,0.9417999982833862,"[(0, 0.9418403), (1, 0.011630614), (2, 0.011631803), (3, 0.011635906), (4, 0.01163062), (5, 0.011630731)]",아이폰미니12 GET!인증 포스팅 &amp; <b>아이폰12</b> 미니 한달 사용 후 느끼는 장단점 현재 보유 중인 스마트폰 왼쪽부터 갤럭시S10 5G - 아이폰6S - <b>아이폰12</b>미니 - 아이폰5S <b>아이폰12</b> 미니를 선택하게 된 이유 중에 하나는?... 
718,0.0,0.9417999982833862,"[(0, 0.9418473), (1, 0.011629398), (2, 0.011633205), (3, 0.011630179), (4, 0.011629602), (5, 0.01163035)]",사실 이전에 사용했던 아이폰 5S도 그렇고 지금까지 메인 폰으로 사용했던 갤럭시 S10e 역시 모두 소형 모델이라 기본적으로 작은 아이폰을 선택한 이유도 있습니다. 그래서 처음엔 <b>아이폰 12</b> 미니 모델로 할까... 
814,0.0,0.9417999982833862,"[(0, 0.9418453), (1, 0.011630136), (2, 0.011630972), (3, 0.011633532), (4, 0.011630048), (5, 0.011630024)]","영롱한 <b>아이폰12</b>프로 그래파이트 ! 이번에도 아이폰x와 동일한 256기가로 선택했어요. 카메라 렌즈가 하나 더 늘어서 그런지 확실히 사진, 동영상이 다르더라고요. 그래선지 요즘 사진찍는 재미가 쏠쏠하고요?... "
